"treenum"	"date"	"HMS"	"obsnum"	"time"	"photo"	"cond"	"ci"	"trmmol"	"VpdL"	"Area"	"StmRat"	"BLCond"	"Tair"	"Tleaf"	"TBlk"	"CO2R"	"CO2S"	"H2OR"	"H2OS"	"RH_R"	"RH_S"	"Flow"	"PARi"	"PARo"	"Press"	"C2Mch"	"H2Mch"
15	7/2/1998 0:00:00	12/30/1899 15:57:08	1.00	57.91	2.86	0.09	291.00	1.01	1.10	6.00	0.00	1.42	21.14	19.82	21.76	354.30	350.40	11.75	12.95	44.07	48.56	500.40	49.97	0.09	94.41	2.50	0.55
15	7/2/1998 0:00:00	12/30/1899 15:57:08	2.00	93.16	2.57	0.09	298.00	1.04	1.10	6.00	0.00	1.42	21.28	19.80	20.90	354.40	350.90	11.67	12.90	43.37	47.96	500.30	50.37	0.74	94.41	2.50	0.55
68	7/7/1998 0:00:00	12/30/1899 12:16:16	1.00	249.93	0.14	0.23	342.00	2.33	1.03	6.00	0.00	1.42	26.70	26.26	26.11	350.10	349.00	22.78	25.50	60.80	68.05	500.60	49.54	0.15	93.88	3.10	0.97
68	7/7/1998 0:00:00	12/30/1899 12:16:16	2.00	267.18	0.22	0.23	341.00	2.30	1.02	6.00	0.00	1.42	26.61	26.24	25.87	350.30	349.10	22.86	25.55	61.35	68.57	500.60	49.43	0.30	93.88	3.10	0.97
36	7/6/1998 0:00:00	12/30/1899 14:13:16	1.00	228.14	4.38	0.26	314.00	2.23	0.92	6.00	0.00	1.42	23.83	22.99	23.56	356.40	350.20	17.57	20.19	55.55	63.83	500.40	50.32	0.44	93.74	-0.10	0.02
36	7/6/1998 0:00:00	12/30/1899 14:13:16	2.00	249.88	4.48	0.26	313.00	2.24	0.92	6.00	0.00	1.42	23.82	22.96	23.55	356.50	350.20	17.51	20.14	55.39	63.72	500.50	50.47	0.50	93.74	-0.10	0.02
69	7/7/1998 0:00:00	12/30/1899 12:12:02	1.00	163.43	0.30	0.30	342.00	2.93	1.07	6.00	0.00	1.42	27.70	25.97	27.96	351.50	349.90	21.09	24.52	53.11	61.75	500.50	49.85	0.20	93.88	3.10	0.97
69	7/7/1998 0:00:00	12/30/1899 12:12:02	2.00	179.18	0.33	0.30	342.00	2.93	1.06	6.00	0.00	1.42	27.55	25.97	27.62	351.60	349.90	21.13	24.56	53.68	62.38	500.60	49.78	0.45	93.88	3.10	0.97
35	7/6/1998 0:00:00	12/30/1899 14:10:09	1.00	124.14	4.11	0.27	319.00	2.18	0.85	6.00	0.00	1.42	23.64	22.98	22.93	357.20	351.40	18.36	20.92	58.72	66.92	500.60	48.88	0.46	93.74	-0.10	0.02
35	7/6/1998 0:00:00	12/30/1899 14:10:09	2.00	145.14	4.10	0.28	319.00	2.22	0.86	6.00	0.00	1.42	23.62	23.02	22.98	357.10	351.30	18.31	20.92	58.62	66.97	500.30	48.78	0.39	93.74	-0.10	0.02
57	7/7/1998 0:00:00	12/30/1899 15:53:54	1.00	95.93	1.69	0.44	337.00	2.38	0.63	6.00	0.00	1.42	26.41	26.20	25.29	354.80	348.80	24.10	29.64	65.41	80.44	250.00	49.30	1.06	93.80	2.90	0.70
57	7/7/1998 0:00:00	12/30/1899 15:53:54	2.00	122.18	1.72	0.45	337.00	2.35	0.61	6.00	0.00	1.42	26.39	26.05	25.50	354.60	348.50	24.00	29.48	65.21	80.09	250.10	49.79	1.14	93.81	2.90	0.70
47	7/6/1998 0:00:00	12/30/1899 13:33:43	1.00	146.18	1.35	0.34	338.00	3.32	1.10	6.00	0.00	1.42	23.13	22.09	22.98	354.60	351.60	12.76	16.67	42.09	55.00	500.50	50.40	0.74	93.77	3.20	0.19
47	7/6/1998 0:00:00	12/30/1899 13:33:43	2.00	158.18	1.17	0.34	338.00	3.31	1.11	6.00	0.00	1.42	23.13	22.09	22.98	354.40	351.60	12.75	16.66	42.08	54.97	500.40	50.63	0.42	93.77	3.20	0.19
55	7/7/1998 0:00:00	12/30/1899 16:13:01	1.00	25.17	0.21	0.37	342.00	4.23	1.30	6.00	0.00	1.42	27.86	26.45	28.46	354.70	350.60	13.19	23.11	32.87	57.58	250.00	50.18	0.28	93.79	2.90	0.70
55	7/7/1998 0:00:00	12/30/1899 16:13:01	2.00	178.91	0.12	0.34	341.00	4.06	1.33	6.00	0.00	1.42	26.80	26.56	25.65	353.40	349.70	13.50	23.01	35.79	61.00	250.00	49.58	0.05	93.80	2.90	0.70
46	7/6/1998 0:00:00	12/30/1899 13:37:16	1.00	162.68	1.10	0.30	335.00	3.15	1.15	6.00	0.00	1.42	23.55	22.16	23.57	351.60	348.90	12.65	16.36	40.68	52.62	500.40	49.39	0.17	93.76	3.20	0.19
46	7/6/1998 0:00:00	12/30/1899 13:37:16	2.00	173.18	1.14	0.30	335.00	3.15	1.14	6.00	0.00	1.42	23.56	22.14	23.56	351.60	348.90	12.64	16.36	40.64	52.60	500.60	49.57	0.67	93.76	3.20	0.19
56	7/7/1998 0:00:00	12/30/1899 16:08:06	1.00	209.92	0.58	0.30	338.00	3.75	1.36	6.00	0.00	1.42	28.49	26.14	28.96	353.70	349.20	12.98	21.78	31.17	52.31	250.00	50.59	0.15	93.80	2.90	0.70
56	7/7/1998 0:00:00	12/30/1899 16:08:06	2.00	222.67	0.58	0.30	338.00	3.75	1.37	6.00	0.00	1.42	28.47	26.18	29.04	353.80	349.20	12.97	21.78	31.19	52.38	249.70	50.88	0.12	93.80	2.90	0.70
48	7/6/1998 0:00:00	12/30/1899 13:28:07	1.00	224.19	1.32	0.30	336.00	3.03	1.12	6.00	0.00	1.42	23.36	22.01	23.36	354.10	351.30	12.84	16.41	41.77	53.39	500.50	50.41	0.39	93.77	3.20	0.19
48	7/6/1998 0:00:00	12/30/1899 13:28:07	2.00	238.44	1.36	0.30	336.00	3.03	1.12	6.00	0.00	1.42	23.38	22.05	23.29	354.20	351.30	12.83	16.40	41.70	53.31	500.40	50.55	0.89	93.77	3.20	0.19
56	7/7/1998 0:00:00	12/30/1899 16:05:13	1.00	61.67	14.20	0.32	258.00	3.81	1.31	6.00	0.00	1.42	24.86	26.10	23.29	385.00	347.70	13.34	22.27	39.68	66.27	250.00	1200.00	0.85	93.80	2.90	0.70
56	7/7/1998 0:00:00	12/30/1899 16:05:13	2.00	80.42	14.40	0.32	259.00	3.81	1.30	6.00	0.00	1.42	24.77	26.07	23.79	387.40	349.70	13.31	22.24	39.80	66.50	250.20	1201.00	0.06	93.80	2.90	0.70
47	7/6/1998 0:00:00	12/30/1899 13:15:44	1.00	112.20	19.50	0.51	268.00	2.49	0.59	6.00	0.00	1.42	21.13	22.30	19.64	374.30	349.90	19.52	22.44	72.76	83.62	500.40	1200.00	0.23	93.78	3.20	0.19
47	7/6/1998 0:00:00	12/30/1899 13:15:44	2.00	181.95	19.70	0.53	269.00	2.42	0.56	6.00	0.00	1.42	20.99	22.12	19.65	373.90	349.30	19.60	22.44	73.68	84.36	500.50	1199.00	0.31	93.77	3.20	0.19
46	7/6/1998 0:00:00	12/30/1899 13:06:36	1.00	199.71	18.30	0.37	251.00	2.20	0.67	6.00	0.00	1.42	20.48	22.15	19.07	372.30	349.40	18.78	21.36	72.87	82.89	500.40	1200.00	0.09	93.78	3.20	0.19
46	7/6/1998 0:00:00	12/30/1899 13:06:36	2.00	459.95	18.60	0.38	252.00	2.11	0.63	6.00	0.00	1.42	20.39	22.07	19.08	373.90	350.70	19.14	21.61	74.67	84.31	500.30	1199.00	0.08	93.78	3.20	0.19
48	7/6/1998 0:00:00	12/30/1899 13:21:51	1.00	260.44	18.20	0.37	251.00	2.69	0.82	6.00	0.00	1.42	20.37	22.09	19.19	373.30	350.40	16.45	19.61	64.22	76.56	500.60	1200.00	0.11	93.77	3.20	0.19
48	7/6/1998 0:00:00	12/30/1899 13:21:51	2.00	285.19	15.90	0.37	263.00	2.66	0.82	6.00	0.00	1.42	20.23	22.05	18.86	371.10	350.90	16.46	19.59	64.86	77.19	500.60	1201.00	0.12	93.77	3.20	0.19
55	7/7/1998 0:00:00	12/30/1899 16:16:36	1.00	106.91	15.30	0.34	255.00	4.44	1.46	6.00	0.00	1.42	25.60	27.82	23.62	389.00	348.60	14.08	24.46	40.07	69.63	250.10	1201.00	0.48	93.79	2.90	0.70
55	7/7/1998 0:00:00	12/30/1899 16:16:36	2.00	124.16	15.00	0.34	257.00	4.40	1.45	6.00	0.00	1.42	25.51	27.79	23.51	389.00	349.20	14.17	24.47	40.56	70.05	250.10	1201.00	0.41	93.79	2.90	0.70
57	7/7/1998 0:00:00	12/30/1899 15:57:25	1.00	83.68	18.50	0.40	251.00	2.58	0.73	6.00	0.00	1.42	24.79	26.51	23.19	391.20	344.70	23.24	29.24	69.40	87.31	250.00	1199.00	0.20	93.80	2.90	0.70
57	7/7/1998 0:00:00	12/30/1899 15:57:25	2.00	233.68	19.30	0.64	277.00	4.77	0.98	6.00	0.00	1.42	25.45	25.81	25.38	398.60	348.40	13.98	25.13	40.17	72.19	250.20	1201.00	0.45	93.80	2.90	0.70
58	7/7/1998 0:00:00	12/30/1899 15:33:42	1.00	87.70	10.20	0.16	232.00	2.10	1.33	6.00	0.00	1.42	25.03	26.35	24.19	362.90	349.80	20.12	22.59	59.27	66.52	500.60	1201.00	0.08	93.80	2.90	0.70
58	7/7/1998 0:00:00	12/30/1899 15:33:42	2.00	110.20	10.20	0.15	230.00	2.07	1.32	6.00	0.00	1.42	24.78	26.29	23.92	362.70	349.50	20.07	22.49	59.99	67.24	500.20	1200.00	0.20	93.81	2.90	0.70
14	7/2/1998 0:00:00	12/30/1899 15:48:49	1.00	55.92	9.59	0.08	156.00	1.15	1.31	6.00	0.00	1.42	19.87	21.64	18.34	360.60	348.60	12.29	13.65	49.85	55.38	500.50	1201.00	0.17	94.40	2.50	0.55
14	7/2/1998 0:00:00	12/30/1899 15:48:49	2.00	88.92	9.00	0.08	166.00	1.10	1.27	6.00	0.00	1.42	19.10	21.37	17.45	360.80	349.60	12.28	13.58	52.23	57.78	500.40	1200.00	0.53	94.41	2.50	0.55
14	7/2/1998 0:00:00	12/30/1899 16:00:38	1.00	113.40	2.45	0.06	283.00	0.80	1.19	6.00	0.00	1.42	20.93	20.11	21.00	354.80	351.50	11.43	12.38	43.42	47.05	500.40	50.37	0.06	94.40	2.50	0.55
14	7/2/1998 0:00:00	12/30/1899 16:00:38	2.00	187.65	2.63	0.06	272.00	0.77	1.21	6.00	0.00	1.42	20.84	20.19	20.84	353.20	349.80	11.40	12.32	43.55	47.04	500.40	50.30	0.26	94.41	2.50	0.55
59	7/7/1998 0:00:00	12/30/1899 15:32:28	1.00	7.20	9.78	0.18	249.00	2.13	1.21	6.00	0.00	1.42	24.92	25.94	24.36	363.40	350.70	20.45	22.95	60.61	68.02	500.50	1201.00	0.13	93.81	2.90	0.70
59	7/7/1998 0:00:00	12/30/1899 15:32:28	2.00	23.70	9.82	0.18	249.00	2.14	1.20	6.00	0.00	1.42	25.01	25.90	24.56	363.30	350.60	20.43	22.94	60.22	67.62	500.20	1200.00	0.89	93.81	2.90	0.70
15	7/2/1998 0:00:00	12/30/1899 15:52:18	1.00	86.91	7.56	0.09	213.00	1.25	1.27	6.00	0.00	1.42	19.43	21.43	17.76	360.40	350.80	12.17	13.65	50.71	56.90	500.30	1200.00	1.51	94.41	2.50	0.55
15	7/2/1998 0:00:00	12/30/1899 15:52:18	2.00	125.16	7.91	0.09	207.00	1.20	1.22	6.00	0.00	1.42	18.75	20.99	16.98	360.10	350.20	12.12	13.54	52.71	58.89	500.40	1201.00	0.11	94.41	2.50	0.55
13	7/2/1998 0:00:00	12/30/1899 16:05:53	1.00	75.90	2.49	0.10	305.00	1.22	1.13	6.00	0.00	1.42	20.42	19.95	20.26	354.40	350.90	11.42	12.86	44.76	50.41	500.40	50.23	0.26	94.40	2.50	0.55
13	7/2/1998 0:00:00	12/30/1899 16:05:53	2.00	97.65	2.50	0.10	305.00	1.22	1.13	6.00	0.00	1.42	20.45	19.98	20.26	354.30	350.80	11.41	12.86	44.65	50.31	500.40	50.25	0.02	94.40	2.50	0.55
60	7/7/1998 0:00:00	12/30/1899 15:26:38	1.00	163.71	8.61	0.15	244.00	2.01	1.32	6.00	0.00	1.42	24.28	26.52	22.72	360.30	349.10	20.62	22.98	63.50	70.76	500.50	1200.00	0.33	93.81	2.90	0.70
60	7/7/1998 0:00:00	12/30/1899 15:26:38	2.00	183.21	8.61	0.15	244.00	1.97	1.30	6.00	0.00	1.42	24.20	26.38	22.75	360.20	349.10	20.62	22.92	63.83	70.95	500.40	1200.00	0.30	93.80	2.90	0.70
13	7/2/1998 0:00:00	12/30/1899 15:44:25	1.00	109.92	12.30	0.14	197.00	1.58	1.11	6.00	0.00	1.42	18.47	20.61	16.88	365.90	350.50	12.19	14.05	53.94	62.19	500.50	1200.00	0.59	94.40	2.50	0.55
13	7/2/1998 0:00:00	12/30/1899 15:44:25	2.00	146.67	12.60	0.14	195.00	1.54	1.08	6.00	0.00	1.42	18.17	20.43	16.35	365.90	350.20	12.24	14.06	55.18	63.40	500.30	1200.00	0.45	94.40	2.50	0.55
38	7/6/1998 0:00:00	12/30/1899 14:06:45	1.00	131.64	3.47	0.30	323.00	2.16	0.79	6.00	0.00	1.42	24.18	22.88	24.16	354.70	349.60	18.87	21.41	58.42	66.27	500.50	50.68	1.43	93.74	-0.10	0.02
38	7/6/1998 0:00:00	12/30/1899 14:06:45	2.00	150.39	4.12	0.30	318.00	2.19	0.80	6.00	0.00	1.42	24.21	22.90	24.15	354.40	348.60	18.80	21.36	58.12	66.05	500.40	51.14	0.00	93.74	-0.10	0.02
39	7/6/1998 0:00:00	12/30/1899 13:56:56	1.00	215.15	4.89	0.31	316.00	2.70	0.94	6.00	0.00	1.42	23.53	23.33	22.37	357.10	350.10	17.42	20.59	56.10	66.31	500.40	49.40	0.26	93.75	-0.10	0.02
39	7/6/1998 0:00:00	12/30/1899 13:56:56	2.00	229.40	4.71	0.31	317.00	2.66	0.93	6.00	0.00	1.42	23.47	23.28	22.20	356.90	350.10	17.53	20.65	56.65	66.73	500.60	49.44	0.08	93.75	-0.10	0.02
50	7/6/1998 0:00:00	12/30/1899 12:28:42	1.00	105.70	0.90	0.36	340.00	2.92	0.92	6.00	0.00	1.42	22.75	21.74	22.96	352.80	350.50	14.52	17.96	49.05	60.68	500.60	51.26	0.34	93.81	3.20	0.19
50	7/6/1998 0:00:00	12/30/1899 12:28:42	2.00	120.70	0.80	0.36	341.00	2.96	0.92	6.00	0.00	1.42	22.94	21.74	23.21	352.80	350.60	14.51	17.99	48.46	60.08	500.50	50.98	1.18	93.81	3.20	0.19
51	7/6/1998 0:00:00	12/30/1899 12:32:28	1.00	132.45	1.04	0.45	339.00	3.39	0.89	6.00	0.00	1.42	24.08	21.92	24.55	351.40	348.70	14.59	18.57	45.47	57.89	500.60	50.05	1.75	93.81	3.20	0.19
51	7/6/1998 0:00:00	12/30/1899 12:32:28	2.00	144.45	1.23	0.45	338.00	3.39	0.90	6.00	0.00	1.42	24.08	21.93	24.55	351.50	348.60	14.59	18.58	45.47	57.90	500.60	50.15	0.02	93.80	3.20	0.19
52	7/6/1998 0:00:00	12/30/1899 12:37:05	1.00	122.45	1.00	0.40	341.00	2.60	0.75	6.00	0.00	1.42	23.44	22.07	23.57	352.40	350.20	17.27	20.32	55.94	65.82	500.50	50.13	0.06	93.80	3.20	0.19
52	7/6/1998 0:00:00	12/30/1899 12:37:05	2.00	134.45	1.05	0.40	341.00	2.60	0.75	6.00	0.00	1.42	23.45	22.08	23.57	352.70	350.30	17.29	20.34	55.97	65.86	500.40	49.91	0.06	93.80	3.20	0.19
53	7/6/1998 0:00:00	12/30/1899 12:20:01	1.00	123.46	0.63	0.47	342.00	3.50	0.90	6.00	0.00	1.42	24.03	21.98	24.36	352.60	350.40	14.49	18.61	45.31	58.19	500.70	49.99	0.31	93.82	3.20	0.19
53	7/6/1998 0:00:00	12/30/1899 12:20:01	2.00	141.46	0.85	0.46	341.00	3.51	0.91	6.00	0.00	1.42	24.05	22.04	24.36	352.70	350.20	14.50	18.63	45.28	58.18	500.80	50.06	0.63	93.82	3.20	0.19
25	7/3/1998 0:00:00	12/30/1899 13:02:29	1.00	42.70	0.68	0.23	335.00	3.36	1.54	6.00	0.00	1.42	27.55	25.01	28.90	351.90	349.70	13.42	17.38	34.35	44.47	500.30	49.90	0.12	94.58	2.00	0.56
25	7/3/1998 0:00:00	12/30/1899 13:02:29	2.00	64.45	0.56	0.23	337.00	3.34	1.56	6.00	0.00	1.42	27.64	25.11	29.06	352.20	350.10	13.45	17.39	34.24	44.26	500.40	50.36	0.08	94.58	2.00	0.56
49	7/6/1998 0:00:00	12/30/1899 12:23:38	1.00	157.71	1.37	0.26	334.00	2.43	1.01	6.00	0.00	1.42	22.98	21.92	22.99	352.80	350.10	14.50	17.35	48.29	57.81	500.60	50.60	0.28	93.82	3.20	0.19
49	7/6/1998 0:00:00	12/30/1899 12:23:38	2.00	169.71	1.39	0.25	334.00	2.43	1.02	6.00	0.00	1.42	23.07	21.95	23.47	352.60	350.00	14.50	17.36	48.04	57.53	500.60	50.40	0.45	93.82	3.20	0.19
26	7/3/1998 0:00:00	12/30/1899 12:59:01	1.00	57.20	0.32	0.24	340.00	3.27	1.45	6.00	0.00	1.42	27.20	24.49	28.88	352.70	351.00	13.43	17.28	35.06	45.13	500.40	50.07	0.19	94.58	2.00	0.56
26	7/3/1998 0:00:00	12/30/1899 12:59:01	2.00	85.70	0.17	0.24	341.00	3.34	1.46	6.00	0.00	1.42	27.41	24.59	29.11	352.80	351.20	13.42	17.35	34.63	44.78	500.40	50.19	0.11	94.58	2.00	0.56
23	7/3/1998 0:00:00	12/30/1899 12:48:15	1.00	160.71	1.63	0.16	324.00	2.24	1.41	6.00	0.00	1.42	26.69	24.07	28.26	352.70	349.80	14.20	16.85	38.23	45.34	500.50	50.32	0.20	94.57	2.00	0.56
23	7/3/1998 0:00:00	12/30/1899 12:48:15	2.00	183.21	1.69	0.15	322.00	2.18	1.46	6.00	0.00	1.42	27.08	24.25	29.22	353.00	350.10	14.15	16.72	37.21	43.96	500.30	50.59	0.28	94.56	2.00	0.56
54	7/6/1998 0:00:00	12/30/1899 12:13:46	1.00	188.72	1.18	0.49	340.00	3.64	0.91	6.00	0.00	1.42	24.51	22.06	25.35	352.70	349.80	14.37	18.66	43.65	56.67	500.80	50.31	0.71	93.83	3.20	0.19
54	7/6/1998 0:00:00	12/30/1899 12:13:46	2.00	201.47	1.00	0.49	341.00	3.67	0.91	6.00	0.00	1.42	24.52	22.12	25.17	352.90	350.20	14.38	18.70	43.68	56.80	500.60	50.23	0.01	93.83	3.20	0.19
27	7/3/1998 0:00:00	12/30/1899 11:48:33	1.00	108.22	1.19	0.24	335.00	2.71	1.21	6.00	0.00	1.42	23.92	21.38	24.77	353.10	350.60	11.03	14.24	35.00	45.18	500.40	51.00	0.05	94.58	2.00	0.56
27	7/3/1998 0:00:00	12/30/1899 11:48:33	2.00	131.46	1.35	0.24	334.00	2.78	1.23	6.00	0.00	1.42	24.19	21.58	25.12	353.60	350.90	11.00	14.29	34.35	44.62	500.30	51.05	0.05	94.58	2.00	0.56
24	7/3/1998 0:00:00	12/30/1899 12:54:57	1.00	72.46	1.32	0.21	328.00	2.88	1.44	6.00	0.00	1.42	25.86	24.31	25.05	350.00	347.20	13.62	17.02	38.48	48.08	500.30	49.09	0.41	94.57	2.00	0.56
24	7/3/1998 0:00:00	12/30/1899 12:54:57	2.00	114.46	0.42	0.21	339.00	2.88	1.44	6.00	0.00	1.42	26.17	24.27	27.07	352.60	350.90	13.57	16.96	37.65	47.05	500.20	49.14	0.37	94.57	2.00	0.56
22	7/3/1998 0:00:00	12/30/1899 11:52:18	1.00	262.71	1.21	0.19	331.00	2.56	1.37	6.00	0.00	1.42	22.40	22.24	21.66	352.20	349.70	10.98	14.00	38.19	48.71	500.60	50.92	0.24	94.58	2.00	0.56
22	7/3/1998 0:00:00	12/30/1899 11:52:18	2.00	282.21	1.19	0.19	331.00	2.55	1.36	6.00	0.00	1.42	22.42	22.19	21.69	352.30	349.80	10.99	14.01	38.20	48.68	500.40	50.87	1.10	94.58	2.00	0.56
67	7/7/1998 0:00:00	12/30/1899 12:05:50	1.00	180.69	0.18	0.31	341.00	3.18	1.11	6.00	0.00	1.42	27.15	26.27	26.61	350.60	349.10	20.97	24.68	54.51	64.17	500.50	49.28	0.63	93.88	3.10	0.97
67	7/7/1998 0:00:00	12/30/1899 12:05:50	2.00	195.69	0.51	0.32	339.00	3.17	1.10	6.00	0.00	1.42	27.07	26.21	26.69	350.80	348.90	20.95	24.65	54.71	64.38	500.60	49.26	0.23	93.88	3.10	0.97
64	7/7/1998 0:00:00	12/30/1899 11:45:41	1.00	156.71	1.46	0.25	333.00	2.94	1.23	6.00	0.00	1.42	25.78	26.27	24.50	354.00	351.00	19.99	23.43	56.34	66.03	500.60	50.49	0.15	93.89	3.10	0.97
64	7/7/1998 0:00:00	12/30/1899 11:45:41	2.00	262.46	1.10	0.26	336.00	2.93	1.21	6.00	0.00	1.42	25.74	26.04	24.73	353.80	351.30	19.66	23.09	55.56	65.27	500.60	50.95	0.79	93.88	3.10	0.97
65	7/7/1998 0:00:00	12/30/1899 11:41:30	1.00	118.96	1.54	0.26	331.00	3.22	1.32	6.00	0.00	1.42	27.27	26.16	26.87	352.80	349.60	18.47	22.24	47.70	57.44	500.60	49.55	0.01	93.90	3.10	0.97
65	7/7/1998 0:00:00	12/30/1899 11:41:30	2.00	165.46	0.98	0.26	336.00	3.19	1.31	6.00	0.00	1.42	27.17	26.19	26.69	353.30	350.80	18.67	22.41	48.49	58.20	500.80	49.35	0.42	93.89	3.10	0.97
37	7/6/1998 0:00:00	12/30/1899 14:03:26	1.00	16.40	4.16	0.33	323.00	2.39	0.81	6.00	0.00	1.42	23.82	23.26	23.00	357.40	351.40	19.11	21.91	60.49	69.34	500.50	48.49	0.27	93.74	-0.10	0.02
37	7/6/1998 0:00:00	12/30/1899 14:03:26	2.00	101.90	4.71	0.33	318.00	2.27	0.77	6.00	0.00	1.42	23.44	23.15	22.37	356.90	350.30	19.42	22.09	62.89	71.51	500.50	50.73	0.12	93.74	-0.10	0.02
34	7/6/1998 0:00:00	12/30/1899 14:20:39	1.00	113.63	4.43	0.24	311.00	2.24	0.99	6.00	0.00	1.42	23.61	22.83	23.55	356.30	350.10	16.55	19.18	53.02	61.45	500.20	50.09	0.23	93.74	-0.10	0.02
34	7/6/1998 0:00:00	12/30/1899 14:20:39	2.00	157.88	4.43	0.24	311.00	2.28	1.01	6.00	0.00	1.42	23.71	22.85	23.77	356.40	350.10	16.39	19.07	52.17	60.73	500.60	50.09	0.45	93.73	-0.10	0.02
66	7/7/1998 0:00:00	12/30/1899 11:52:59	1.00	585.70	0.41	0.18	338.00	2.21	1.25	6.00	0.00	1.42	26.85	26.02	26.50	350.40	348.90	20.12	22.71	53.22	60.07	500.70	50.19	0.30	93.88	3.10	0.97
66	7/7/1998 0:00:00	12/30/1899 11:52:59	2.00	689.94	0.11	0.18	341.00	2.12	1.21	6.00	0.00	1.42	26.92	26.13	26.49	349.80	348.80	20.89	23.38	55.05	61.60	500.60	50.01	0.01	93.88	3.10	0.97
45	7/6/1998 0:00:00	12/30/1899 15:07:16	1.00	114.83	4.70	0.28	312.00	2.92	1.14	6.00	0.00	1.42	24.53	23.15	24.34	357.10	350.20	14.77	18.20	44.77	55.19	500.50	50.56	0.15	93.72	-0.10	0.02
45	7/6/1998 0:00:00	12/30/1899 15:07:16	2.00	150.83	4.64	0.27	313.00	2.92	1.15	6.00	0.00	1.42	24.42	23.16	24.15	357.10	350.30	14.73	18.17	44.94	55.43	500.50	50.58	0.35	93.71	-0.10	0.02
71	7/7/1998 0:00:00	12/30/1899 13:11:57	1.00	160.96	1.02	0.29	337.00	3.22	1.21	6.00	0.00	1.42	26.85	26.36	26.10	353.20	350.60	20.11	23.88	53.20	63.17	500.20	50.66	0.37	93.86	3.10	0.70
71	7/7/1998 0:00:00	12/30/1899 13:11:57	2.00	175.96	1.13	0.29	336.00	3.21	1.19	6.00	0.00	1.42	26.75	26.30	25.85	353.20	350.50	20.10	23.86	53.48	63.49	500.50	50.83	0.20	93.86	3.10	0.70
40	7/6/1998 0:00:00	12/30/1899 15:18:45	1.00	64.07	4.42	0.24	307.00	2.90	1.29	6.00	0.00	1.42	25.87	23.53	26.01	354.50	348.00	13.91	17.32	38.93	48.49	500.50	49.96	0.31	93.73	-0.10	0.02
40	7/6/1998 0:00:00	12/30/1899 15:18:45	2.00	83.57	4.66	0.23	306.00	2.88	1.29	6.00	0.00	1.42	25.74	23.51	26.30	355.90	349.10	13.89	17.28	39.17	48.75	500.50	49.83	0.12	93.73	-0.10	0.02
75	7/7/1998 0:00:00	12/30/1899 13:03:56	1.00	20.72	2.43	0.20	323.00	2.23	1.11	6.00	0.00	1.42	27.40	25.81	27.95	354.10	350.30	21.06	23.67	53.96	60.64	500.50	50.34	0.08	93.88	3.10	0.70
75	7/7/1998 0:00:00	12/30/1899 13:03:56	2.00	42.47	2.31	0.20	324.00	2.25	1.13	6.00	0.00	1.42	27.45	25.85	27.81	354.10	350.40	20.98	23.62	53.59	60.32	500.70	50.27	0.09	93.87	3.10	0.70
72	7/7/1998 0:00:00	12/30/1899 13:17:05	1.00	80.20	1.46	0.41	336.00	3.27	0.93	6.00	0.00	1.42	26.46	24.93	27.48	351.60	348.50	19.96	23.79	54.04	64.39	500.40	48.97	0.66	93.86	3.10	0.70
72	7/7/1998 0:00:00	12/30/1899 13:17:05	2.00	110.20	1.51	0.41	335.00	3.34	0.95	6.00	0.00	1.42	26.98	25.05	28.21	351.50	348.30	19.91	23.82	52.25	62.51	500.60	49.53	0.75	93.86	3.10	0.70
73	7/7/1998 0:00:00	12/30/1899 13:20:42	1.00	153.95	0.73	0.31	338.00	3.33	1.18	6.00	0.00	1.42	27.86	26.11	28.05	351.80	349.60	19.73	23.63	49.20	58.93	500.50	49.34	0.68	93.86	3.10	0.70
73	7/7/1998 0:00:00	12/30/1899 13:20:42	2.00	173.45	0.82	0.31	337.00	3.33	1.18	6.00	0.00	1.42	27.85	26.13	28.06	351.80	349.40	19.74	23.63	49.25	58.97	500.50	49.06	0.60	93.86	3.10	0.70
44	7/6/1998 0:00:00	12/30/1899 15:01:21	1.00	191.59	4.26	0.26	313.00	2.78	1.13	6.00	0.00	1.42	24.28	23.08	24.17	355.20	348.90	14.93	18.20	45.92	55.98	500.40	49.52	0.37	93.72	-0.10	0.02
44	7/6/1998 0:00:00	12/30/1899 15:01:21	2.00	202.84	4.34	0.26	313.00	2.79	1.13	6.00	0.00	1.42	24.30	23.06	24.16	355.30	348.90	14.92	18.20	45.86	55.94	500.70	49.62	0.50	93.72	-0.10	0.02
42	7/6/1998 0:00:00	12/30/1899 14:57:52	1.00	102.84	4.67	0.30	316.00	3.07	1.11	6.00	0.00	1.42	24.49	23.25	24.15	357.60	350.70	15.06	18.67	45.74	56.73	500.40	48.80	0.24	93.71	-0.10	0.02
42	7/6/1998 0:00:00	12/30/1899 14:57:52	2.00	149.34	4.84	0.30	314.00	3.06	1.10	6.00	0.00	1.42	24.25	23.16	23.69	357.40	350.30	15.02	18.61	46.29	57.37	500.50	50.00	0.44	93.71	-0.10	0.02
43	7/6/1998 0:00:00	12/30/1899 14:51:56	1.00	284.10	4.56	0.33	319.00	3.14	1.05	6.00	0.00	1.42	24.98	22.96	25.34	357.90	351.10	15.08	18.77	44.49	55.38	500.60	49.84	0.31	93.71	-0.10	0.02
