species	veg.treat	irr	gap.pos	transect	obs	photo	cond	trmmol	WUE
POTR	s	1200	SU	B3-6	2	10.30	0.299	2.39	8.006700168
POTR	s	1200	SU	B3-6	4	10.20	0.194	1.90	9.768041237
POTR	s	1200	SU	B3-6	5	8.04	0.287	2.44	8.50174216
POTR	s	1200	SU	B3-6	6	11.65	0.286	2.23	7.810858144
POTR	s	50	C	B3-6	1	1.20	0.198	2.56	12.93670886
POTR	s	50	C	B3-6	2	1.66	0.158	2.21	13.98734177
POTR	s	50	C	B3-6	3	0.87	0.212	2.88	13.58490566
POTR	s	50	C	B3-6	4	0.62	0.232	3.35	14.43965517
POTR	s	50	C	B3-6	5	0.25	0.246	3.31	13.46232179
POTR	s	50	C	B3-6	6	1.27	0.245	2.75	11.22699387
POTR	s	1200	C	B3-6	1	14.95	0.189	3.24	17.14285714
POTR	s	1200	C	B3-6	2	16.90	0.297	4.19	14.11467116
POTR	s	1200	C	B3-6	3	17.25	0.214	3.51	16.41686183
POTR	s	1200	C	B3-6	4	17.80	0.291	4.60	15.83476764
POTR	s	1200	C	B3-6	5	18.15	0.284	4.42	15.54577465
POTR	s	1200	C	B3-6	6	19.75	0.240	4.12	17.18162839
POTR	s	50	 NE	B3-6	2	4.11	0.281	2.20	7.843137255
POTR	s	50	 NE	B3-6	3	4.43	0.262	2.24	8.546845124
POTR	s	50	 NE	B3-6	5	3.80	0.303	2.18	7.190082645
POTR	s	50	 NE	B3-6	6	4.80	0.319	2.68	8.401253918
POTR	s	1200	 NE	B3-6	1	24.40	0.343	3.14	9.139941691
POTR	s	1200	 NE	B3-6	2	22.80	0.348	3.27	9.410071942
POTR	s	1200	 NE	B3-6	3	22.70	0.328	3.20	9.770992366
POTR	s	1200	 NE	B3-6	4	23.25	0.444	3.98	8.952702703
POTR	s	1200	 NE	B3-6	5	22.90	0.382	3.38	8.835078534
POTR	s	1200	 NE	B3-6	6	22.35	0.404	3.77	9.331683168
POTR	s	50	NE	B3-6	1	4.43	0.242	2.26	9.338842975
POTR	s	50	NE	B3-6	4	4.44	0.331	2.33	7.049924357
POTR	s	50	NU	B3-6	1	4.54	0.240	2.89	12.04166667
POTR	s	50	NU	B3-6	2	4.55	0.323	3.22	9.969040248
POTR	s	50	NU	B3-6	3	4.76	0.308	3.07	9.967479675
POTR	s	50	NU	B3-6	4	4.59	0.337	3.15	9.332344214
POTR	s	50	NU	B3-6	5	4.30	0.269	2.79	10.37243948
POTR	s	50	NU	B3-6	6	4.67	0.280	2.92	10.42857143
POTR	s	1200	NU	B3-6	1	19.15	0.250	3.09	12.34
POTR	s	1200	NU	B3-6	2	18.20	0.324	3.45	10.66460587
POTR	s	1200	NU	B3-6	3	15.45	0.348	3.62	10.40229885
POTR	s	1200	NU	B3-6	4	16.10	0.396	3.93	9.911616162
POTR	s	1200	NU	B3-6	5	16.30	0.286	3.09	10.82311734
POTR	s	1200	NU	B3-6	6	21.55	0.302	3.40	11.26036484
POTR	s	50	SU	B3-6	1	2.26	0.151	1.92	12.71523179
POTR	s	50	SU	B3-6	2	2.33	0.202	2.27	11.23762376
POTR	s	50	SU	B3-6	3	2.22	0.154	1.96	12.69480519
POTR	s	1200	C	A2-9	6	10.00	0.109	2.12	19.35041171
POTR	s	50	SE	A2-9	3	1.79	0.234	1.63	6.944444444
POTR	s	50	SE	A2-9	4	1.84	0.230	1.65	7.167755991
POTR	s	50	SE	A2-9	5	1.54	0.273	1.92	7.014652015
POTR	s	50	SE	A2-9	6	0.89	0.223	1.70	7.617977528
POTR	s	1200	SE	A2-9	1	15.65	0.252	2.08	8.270377734
POTR	s	1200	SE	A2-9	2	14.50	0.362	1.78	4.917127072
POTR	s	1200	SE	A2-9	3	14.80	0.357	2.39	6.704067321
POTR	s	1200	SE	A2-9	4	13.70	0.295	2.31	7.843803056
POTR	s	1200	SE	A2-9	5	16.60	0.261	2.13	8.176583493
POTR	s	1200	SE	A2-9	6	14.45	0.247	2.14	8.663967611
POTR	s	50	C	A2-9	1	0.58	0.259	2.13	8.204633205
POTR	s	50	C	A2-9	2	0.63	0.287	2.18	7.591623037
POTR	s	50	C	A2-9	3	0.79	0.118	1.12	9.449152542
POTR	s	50	C	A2-9	4	1.05	0.277	2.05	7.38267148
POTR	s	50	C	A2-9	5	2.59	0.214	1.70	7.93911007
POTR	s	50	C	A2-9	6	1.36	0.159	1.38	8.706624606
POTR	s	1200	C	A2-9	1	4.97	0.065	0.69	10.66581306
POTR	s	1200	C	A2-9	2	3.62	0.039	0.60	15.54112554
POTR	s	1200	C	A2-9	3	3.52	0.075	0.95	12.67857143
POTR	s	1200	C	A2-9	4	1.75	0.017	0.24	13.78640777
POTR	s	1200	C	A2-9	5	2.15	0.016	0.22	13.67015707
POTR	s	50	NE	A2-9	1	2.68	0.117	0.77	6.555555556
POTR	s	50	NE	A2-9	2	1.64	0.191	1.08	5.669291339
POTR	s	50	NE	A2-9	3	1.27	0.150	0.86	5.75
POTR	s	50	NE	A2-9	4	1.26	0.225	1.34	5.962962963
POTR	s	50	NE	A2-9	5	2.04	0.225	1.34	5.946547884
POTR	s	50	NE	A2-9	6	1.77	0.232	1.48	6.371490281
POTR	s	1200	NE	A2-9	1	12.20	0.158	1.29	8.19047619
POTR	s	1200	NE	A2-9	2	14.80	0.203	1.46	7.192118227
POTR	s	1200	NE	A2-9	3	14.00	0.201	1.39	6.915422886
POTR	s	1200	NE	A2-9	4	13.33	0.302	2.23	7.393103448
POTR	s	1200	NE	A2-9	5	17.25	0.312	2.18	6.998394864
POTR	s	50	NU	A2-9	1	1.30	0.223	2.00	8.988764045
POTR	s	50	NU	A2-9	2	1.69	0.189	1.62	8.571428571
POTR	s	50	NU	A2-9	3	1.62	0.188	1.74	9.28
POTR	s	50	NU	A2-9	4	1.71	0.221	1.85	8.371040724
POTR	s	50	NU	A2-9	5	1.41	0.220	1.86	8.4738041
POTR	s	50	NU	A2-9	6	0.93	0.302	2.39	7.913907285
POTR	s	1200	NU	A2-9	1	13.55	0.257	2.43	9.473684211
POTR	s	1200	NU	A2-9	2	12.20	0.215	2.05	9.533799534
POTR	s	1200	NU	A2-9	3	11.55	0.240	2.52	10.52192067
POTR	s	1200	NU	A2-9	4	15.65	0.290	2.76	9.517241379
POTR	s	1200	NU	A2-9	5	15.10	0.247	2.60	10.50607287
POTR	s	1200	NU	A2-9	6	13.80	0.356	3.17	8.917018284
