"treenum"	"block"	"gap"	"transect"	"vegtrt"	"gappos"	"species"	"ind"	"photo"	"cond"	"trmmol"	"wue"
1	"B"	3	6	"s"	"SE"	"POTR"	1.00	2.05	0.35	2.99	0.68
2	"B"	3	6	"s"	"SE"	"POTR"	2.00	2.32	0.27	2.60	0.89
3	"B"	3	6	"s"	"SE"	"POTR"	3.00	2.05	0.26	2.54	0.80
4	"B"	3	6	"s"	"SE"	"POTR"	4.00	2.69	0.29	2.70	0.99
5	"B"	3	6	"s"	"SE"	"POTR"	5.00	2.29	0.22	2.22	1.03
6	"B"	3	6	"s"	"SE"	"POTR"	6.00	1.99	0.29	2.61	0.76
7	"B"	3	6	"s"	"SU"	"POTR"	1.00	2.94	0.28	2.20	1.33
8	"B"	3	6	"s"	"SU"	"POTR"	2.00	3.26	0.25	1.93	1.68
9	"B"	3	6	"s"	"SU"	"POTR"	3.00	2.63	0.06	0.64	4.06
10	"B"	3	6	"s"	"SU"	"POTR"	4.00	3.79	0.18	1.60	2.36
11	"B"	3	6	"s"	"SU"	"POTR"	5.00	3.44	0.22	1.82	1.89
12	"B"	3	6	"s"	"SU"	"POTR"	6.00	3.03	0.25	2.06	1.47
13	"B"	3	7	"r"	"SU"	"ALIN"	1.00	2.49	0.10	1.22	2.04
14	"B"	3	7	"r"	"SU"	"ALIN"	2.00	2.54	0.06	0.78	3.21
15	"B"	3	7	"r"	"SU"	"ALIN"	3.00	2.71	0.09	1.02	2.64
16	"B"	3	7	"r"	"SU"	"POTR"	1.00	2.69	0.13	1.35	1.98
17	"B"	3	7	"r"	"SU"	"POTR"	2.00	2.91	0.20	1.84	1.58
18	"B"	3	7	"r"	"SU"	"POTR"	3.00	3.26	0.25	2.04	1.60
19	"B"	3	7	"r"	"SU"	"POTR"	4.00	3.32	0.20	1.63	2.03
20	"B"	3	7	"r"	"SU"	"POTR"	5.00	3.50	0.28	2.08	1.67
21	"B"	3	7	"r"	"SU"	"POTR"	6.00	2.77	0.24	1.89	1.46
22	"B"	3	6	"s"	"C"	"POTR"	1.00	1.20	0.19	2.55	0.46
23	"B"	3	6	"s"	"C"	"POTR"	2.00	1.66	0.15	2.21	0.75
24	"B"	3	6	"s"	"C"	"POTR"	3.00	0.87	0.21	2.88	0.30
25	"B"	3	6	"s"	"C"	"POTR"	4.00	0.62	0.23	3.35	0.18
26	"B"	3	6	"s"	"C"	"POTR"	5.00	0.25	0.24	3.30	0.07
27	"B"	3	6	"s"	"C"	"POTR"	6.00	1.27	0.24	2.74	0.46
28	"B"	3	7	"r"	"SE"	"POTR"	1.00	2.48	0.22	2.65	0.93
29	"B"	3	7	"r"	"SE"	"POTR"	2.00	2.62	0.24	2.72	0.96
30	"B"	3	7	"r"	"SE"	"POTR"	3.00	2.51	0.28	3.11	0.80
31	"B"	3	7	"r"	"SE"	"POTR"	4.00	2.55	0.28	3.10	0.82
32	"B"	3	7	"r"	"SE"	"POTR"	5.00	3.32	0.26	3.94	0.84
33	"B"	3	7	"r"	"SE"	"POTR"	6.00	2.08	0.24	3.02	0.69
34	"B"	3	6	"s"	"NE"	"POTR"	1.00	4.43	0.24	2.26	1.96
35	"B"	3	6	"s"	"NE"	"POTR"	2.00	4.10	0.28	2.20	1.86
36	"B"	3	6	"s"	"NE"	"POTR"	3.00	4.43	0.26	2.23	1.98
37	"B"	3	6	"s"	"NE"	"POTR"	4.00	4.43	0.33	2.33	1.90
38	"B"	3	6	"s"	"NE"	"POTR"	5.00	3.79	0.30	2.17	1.74
39	"B"	3	6	"s"	"NE"	"POTR"	6.00	4.80	0.31	2.68	1.79
40	"B"	3	6	"s"	"NU"	"POTR"	1.00	4.54	0.24	2.89	1.57
41	"B"	3	6	"s"	"NU"	"POTR"	2.00	4.54	0.32	3.22	1.41
42	"B"	3	6	"s"	"NU"	"POTR"	3.00	4.75	0.30	3.06	1.55
43	"B"	3	6	"s"	"NU"	"POTR"	4.00	4.59	0.33	3.14	1.45
44	"B"	3	6	"s"	"NU"	"POTR"	5.00	4.30	0.26	2.78	1.54
45	"B"	3	6	"s"	"NU"	"POTR"	6.00	4.67	0.28	2.92	1.59
46	"B"	3	7	"r"	"C"	"ALIN"	1.00	1.12	0.30	3.15	0.35
47	"B"	3	7	"r"	"C"	"ALIN"	2.00	1.26	0.34	3.31	0.38
48	"B"	3	7	"r"	"C"	"ALIN"	3.00	1.34	0.30	3.03	0.44
49	"B"	3	7	"r"	"C"	"POTR"	1.00	1.38	0.25	2.43	0.56
50	"B"	3	7	"r"	"C"	"POTR"	2.00	0.85	0.36	2.94	0.29
51	"B"	3	7	"r"	"C"	"POTR"	3.00	1.13	0.45	3.39	0.33
52	"B"	3	7	"r"	"C"	"POTR"	4.00	1.02	0.40	2.60	0.39
53	"B"	3	7	"r"	"C"	"POTR"	5.00	0.74	0.47	3.50	0.21
54	"B"	3	7	"r"	"C"	"POTR"	6.00	1.09	0.49	3.65	0.29
55	"B"	3	6	"s"	"C"	"ALIN"	1.00	0.16	0.36	4.14	0.04
56	"B"	3	6	"s"	"C"	"ALIN"	2.00	0.58	0.30	3.75	0.15
57	"B"	3	6	"s"	"C"	"ALIN"	3.00	1.70	0.45	2.36	0.72
61	"B"	3	6	"s"	"SU"	"POTR"	1.00	2.25	0.15	1.92	1.17
62	"B"	3	6	"s"	"SU"	"POTR"	2.00	2.33	0.20	2.27	1.02
63	"B"	3	6	"s"	"SU"	"POTR"	3.00	2.22	0.15	1.95	1.13
64	"B"	3	7	"r"	"NE"	"POTR"	1.00	1.28	0.25	2.93	0.43
65	"B"	3	7	"r"	"NE"	"POTR"	2.00	1.26	0.26	3.20	0.39
66	"B"	3	7	"r"	"NE"	"POTR"	3.00	0.26	0.18	2.16	0.12
67	"B"	3	7	"r"	"NE"	"POTR"	4.00	0.34	0.32	3.17	0.10
68	"B"	3	7	"r"	"NE"	"POTR"	5.00	0.18	0.23	2.31	0.08
69	"B"	3	7	"r"	"NE"	"POTR"	6.00	0.31	0.30	2.93	0.10
70	"B"	3	7	"r"	"NU"	"POTR"	1.00	2.16	0.29	2.89	0.74
