species	origin	irr	gap.pos	transect	obs	photo	cond	trmmol	WUE
POTR	r	1200	C	A3-4	5	9.107695473	0.255844797	1.90010582	0.134647657
POTR	r	1200	C	A3-4	6	8.52	0.294285714	1.525714286	0.192883895
POTR	r	50	NE	A3-4	1	3.332407407	0.146746032	1.44468254	0.101576663
POTR	r	50	NE	A3-4	2	1.421135802	0.110001058	1.158703704	0.094934588
POTR	r	50	NE	A3-4	3	1.020378601	0.124381305	1.569091711	0.079269621
POTR	r	50	NE	A3-4	4	0	0.170317578	2.140173427	0.079581204
POTR	r	50	NE	A3-4	5	0	0.222201097	2.664819714	0.083383163
POTR	r	50	NE	A3-4	6	1.524125133	0.186638461	2.545416095	0.07332336
POTR	r	1200	NE	A3-4	1	10.90804171	0.174498535	2.068472032	0.08436108
POTR	r	1200	NE	A3-4	2	10.2660139	0.162737607	1.95234782	0.083354823
POTR	r	1200	NE	A3-4	3	11.02200463	0.152531583	1.962211178	0.07773454
POTR	r	1200	NE	A3-4	4	12.87400154	0.201701004	2.634070393	0.076573885
POTR	r	1200	NE	A3-4	5	15.49133385	0.233519382	2.955166321	0.079020724
POTR	r	1200	NE	A3-4	6	13.83044462	0.201839794	2.887912583	0.069891241
POTR	r	50	NU	A3-4	1	5.229014872	0.196137074	2.645494671	0.074140038
POTR	r	50	NU	A3-4	2	2.483671624	0.144521882	1.918974414	0.075312042
POTR	r	50	NU	A3-4	3	1.235223875	0.159602532	1.902515281	0.083890276
POTR	r	1200	NU	A3-4	1	9.078407958	0.181772273	2.471314617	0.073552866
POTR	r	1200	NU	A3-4	2	9.482802653	0.140876472	2.000914396	0.070406046
POTR	r	1200	NU	A3-4	3	11.16093422	0.179244538	2.144114323	0.083598405
POTR	r	50	SE	A3-4	1	1.82	0.276095238	1.765714286	0.156364617
POTR	r	50	SE	A3-4	2	0	0.285460317	1.865714286	0.153003233
POTR	r	50	SE	A3-4	3	0	0.268010582	1.787619048	0.149926005
POTR	r	50	SE	A3-4	4	0	0.257551146	1.508730159	0.17070723
POTR	r	50	SE	A3-4	5	0.234438272	0.204993239	1.411481481	0.145232681
POTR	r	50	SE	A3-4	6	0	0.199902508	1.490493827	0.134118307
POTR	r	1200	SE	A3-4	1	7.197715364	0.251777027	2.045402704	0.123094111
POTR	r	1200	SE	A3-4	2	10.73257179	0.267925676	2.216086616	0.120900363
POTR	r	1200	SE	A3-4	3	10.1375	0.269142857	2.228571429	0.120769231
