species	veg.treat	block	transect	gap.pos	irr	obs	ind	photo	cond	trmmol	wue
POTR	s	B	B3-6	NE	1200	5	204	16.500	0.309	3.860	0.00043
POTR	s	B	B3-6	NE	1200	6	205	22.350	0.404	3.770	0.00059
POTR	s	B	B3-6	NE	1200	6	206	19.050	0.362	3.970	0.00048
POTR	s	B	B3-6	NU	1200	1	207	19.150	0.250	3.085	0.00062
POTR	s	B	B3-6	NU	1200	2	208	18.200	0.324	3.450	0.00053
POTR	s	B	B3-6	NU	1200	3	209	15.450	0.348	3.620	0.00043
POTR	s	B	B3-6	NU	1200	4	210	16.100	0.396	3.925	0.00041
POTR	s	B	B3-6	NU	1200	5	211	16.300	0.286	3.090	0.00053
POTR	s	B	B3-6	NU	1200	6	212	21.550	0.302	3.395	0.00063
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
